projet_id;titre_court;titre_portfolio;categorie;niveau;contexte;problematique;donnees;outils;methode;resultats;competences;mise_en_avant;visuels;livrables;commentaire
P1;Projet professionnel;Définition d’un projet professionnel Data / BI;Cadrage parcours;Socle;Démarrage du parcours Business Intelligence Analyst et repositionnement d’un profil senior issu de l’expertise comptable, de l’audit et de la formation.;Construire une trajectoire réaliste vers le conseil et la formation Data / BI en identifiant les acquis transférables, les écarts techniques et les priorités du parcours.;Programme de formation, offre d’emploi BI type, référentiel de 35 compétences, auto-évaluation initiale et expérience professionnelle.;Analyse métier, grille d’auto-évaluation, planification du parcours et stratégie de soft skills.;Définition de l’objectif professionnel, analyse des attendus du métier, sélection de cinq soft skills, cartographie des compétences et formalisation d’un plan de progression.;"Positionnement clarifié comme consultant-formateur Data & BI ; 35 compétences cartographiées, avec des forces en analyse métier, pédagogie et recommandation business, et des priorités en SQL, Power BI, gouvernance et conduite de projet BI.";Positionnement · Analyse métier · Auto-évaluation · Soft skills · Gestion de parcours;Synthétique;Objectif professionnel et synthèse graphique de l’auto-évaluation initiale.;Fiche de début de formation + fiche métier/soft skills + grille d’auto-évaluation + PDF des visuels sélectionnés.;Explique le pourquoi du parcours et donne le cadre narratif du portfolio.
P2;NBA / Les Pionniers;Analyse de performance sportive à partir de données NBA;Excel / KPI;Socle;Le club semi-professionnel Les Pionniers souhaite s’inspirer des pratiques NBA pour préparer une montée en division supérieure.;Quels indicateurs permettent d’identifier les facteurs de performance individuelle et collective transposables à l’entraînement et au recrutement ?;Statistiques NBA 2024-2025 : 569 joueurs, 30 équipes, temps de jeu, tirs, passes, rebonds, interceptions, contres et indicateurs avancés.;Excel, formules, tableaux croisés dynamiques, graphiques, filtres avancés et mises en forme conditionnelles.;Nettoyage et contrôle de cohérence, enrichissement par indicateurs calculés, normalisation, exploration par TCD et comparaison de profils offensifs, créateurs et défensifs.;Trois leviers opérationnels : améliorer la sélection des tirs, maîtriser le ratio passes/pertes et suivre un score d’impact défensif. Trois profils types guident le recrutement.;Excel · Formules · TCD · KPI · Datavisualisation · Recommandations;Synthétique;"Scoring et efficacité offensive ; synthèse des profils shooter, créateur et protecteur.";Données source Excel + rapport d’analyse Excel + présentation PPTX/PDF + PDF des visuels sélectionnés.;Montre la capacité à transformer des statistiques en recommandations opérationnelles.
P3;Assurance logement SQL;Requêtage SQL d’une base de contrats d’assurance logement;SQL;Socle;Analyse d’une base de contrats d’assurance logement croisée avec un référentiel géographique.;Construire une base relationnelle exploitable et répondre à douze questions métier portant sur les surfaces, cotisations, formules et territoires.;Deux fichiers CSV : 30 335 contrats et 38 916 références géographiques, reliés par Code_dep_code_commune.;SQL, SQLite, DBeaver, dictionnaire de données, schéma relationnel et documentation technique.;Création des tables et index, chargement des données, jointures, filtres, agrégations, GROUP BY, HAVING, CTE, normalisation des libellés et requêtes de contrôle.;Douze requêtes fonctionnelles documentées, permettant de lister, compter, moyenner et classer les contrats par commune, département et région.;SQL · SQLite · DBeaver · Jointures · GROUP BY · HAVING · CTE · Documentation;Synthétique;"Schéma relationnel ; requête avancée de normalisation des communes parisiennes.";Sources CSV + document technique + liste des requêtes/résultats + méthodologie + présentation PPTX/PDF + grille d’autoévaluation + PDF des visuels.;Première brique technique SQL structurante.
P4;Dev’Immediat RGPD;Mise en conformité RGPD et anonymisation d’un CRM assurance;RGPD / Data preparation;Important;Dev’Immediat souhaite exploiter son CRM automobile à des fins marketing après une restriction de traitement prononcée par la CNIL.;Extraire les données strictement nécessaires, les anonymiser ou pseudonymiser et documenter un processus reproductible conforme au RGPD.;"Base CRM SQLite de 10 302 lignes et 28 colonnes ; sélection de 1 158 dossiers complets de 2022 ; fichier public final de 19 colonnes.";SQLite, SQL, DBeaver, Excel, Power Query, langage M et documentation RGPD.;Minimisation dès l’extraction SQL, pseudonymisation de l’identifiant, regroupement des métiers, généralisation des dates et montants, contrôles qualité et séparation de la table de correspondance.;Jeu anonymisé de 1 158 lignes exploitable par le marketing, cinq recommandations de gouvernance et processus documenté de collecte, préparation et anonymisation.;RGPD · SQL · Power Query · Langage M · Anonymisation · Pseudonymisation · Gouvernance;Important;"Pipeline Power Query ; aperçu du jeu de données anonymisé final.";Données anonymisées CSV/XLSX + recommandations RGPD + rapport public + dictionnaire + mission + grille d’autoévaluation + visuels.;Projet très aligné avec votre culture de conformité et contrôle.
P5;RetailInsight360;Analyse SQL de la satisfaction client et du NPS;SQL métier;Important;BestMarket souhaite exploiter les retours clients de son réseau de magasins dans le cadre du projet RetailInsight360.;Formaliser les besoins du service client, fiabiliser le modèle de données et répondre à dix-sept questions métier, notamment autour du NPS.;Base SQLite composée de 3 000 retours clients, 145 produits et 84 magasins, avec dates, notes, canaux, catégories et recommandations.;SQL, SQLite, DBeaver, normalisation relationnelle, contrôles qualité, requêtes d’agrégation et datavisualisation.;Expression du besoin, création de la table magasin, définition des PK/FK, contrôles d’unicité et d’intégrité, traduction de 17 questions en SQL et calculs de satisfaction et de NPS.;"Base normalisée et documentée ; note moyenne de 8,05/10 ; NPS global de 31,0 ; 90,9 % de recommandations parmi les répondants ; priorités d’action par magasin, produit, canal et période.";SQL · SQLite · NPS · Jointures · Agrégations · Contrôles qualité · Cadrage métier;Important;"Schéma relationnel normalisé ; vue synthétique globale de la satisfaction client.";Sources et base SQLite + expression des besoins + script SQL de 17 questions + dossier technique + présentation PPTX/PDF + PDF des visuels.;Fait le lien entre besoin métier et requêtes SQL décisionnelles.
P6;Bottleneck Python;Optimisation de la gestion des stocks d’une boutique e-commerce;Python / Data cleaning;Phare;Boutique e-commerce avec données éclatées entre ERP, site web et table de liaison.;Consolider des sources hétérogènes pour produire des KPI fiables de CA, ventes, stocks et marge.;"ERP 825 lignes ; Web brut 1 513 lignes ; liaison 825 ; dataset final 713 produits.";Python, Pandas, notebook, visualisations, Excel.;Profiling, contrôles qualité, nettoyage, clés normalisées, jointures contrôlées, analyse statistique.;Consolidation ERP-Web, anomalies qualifiées, analyse outliers, Pareto CA, stock, marge, corrélations.;Python · Pandas · Data cleaning · Jointures · Qualité données · KPI stock;Phare;Pipeline traitement, Pareto CA, heatmap corrélations, anomalies;Notebook + présentation + fichiers;Projet clé pour montrer la rigueur de fiabilisation des données.
P7;Sanitoral Power BI;Tableau de bord Power BI de pilotage de projets internationaux;Power BI;Phare;Entreprise internationale souhaitant suivre ses projets IT et Marketing par région et pays.;Permettre aux directions de suivre coûts, délais, livrables et écarts par niveau de décision.;Fichier Sanitoral avec coûts, livrables, durées, plans projets, localisations, types, pays.;Power BI, Power Query, DAX, modèle relationnel, PBIX.;Nettoyage, clé Projet × Phase, tables faits/dimensions, mesures DAX, alertes > 15 %.;Dashboard de pilotage de 104 projets IT et Marketing, adapté aux besoins du DG, des directions régionales et des directions pays.;Power BI · Power Query · DAX · Modélisation · KPI · Dashboard · Alertes;Phare;Product Strategy Canvas, modèle relationnel, vue globale, KPI coûts, délais et livrables;PBIX + PDF du dashboard + PDF des visuels + sources et méthodologie;Montre la capacité à livrer un cockpit décisionnel.
P8;Immobilier Paris;Modélisation prédictive du marché immobilier parisien avec Python;Python / ML;Phare;Entreprise immobilière souhaitant analyser le marché parisien et valoriser un portefeuille d’actifs.;Analyser l’évolution du marché, valoriser des actifs et pré-qualifier de nouvelles opportunités.;"Historique parisien 2017-2021 : 26 180 transactions après dédoublonnage, 20 arrondissements, 2 types de biens ; portefeuille à valoriser ; 40 opportunités du 75019 à classer.";Python, Pandas, Scikit-learn, PyCaret, LightGBM, K-Means, visualisations.;Contrôles qualité, analyse exploratoire des prix au m², baseline de régression linéaire, benchmark PyCaret, contrôle métier par bornes IQR historiques et clustering K-Means en 1D.;"Baseline sklearn à 9,05 % de MAPE ; LightGBM retenu à 3,06 % ; valorisation PyCaret de 153,31 M€ ; réduction des prédictions hors IQR de 39,93 % à 23,08 % ; 40 opportunités réparties en deux clusters de 20 biens.";Python · ML · Régression · PyCaret · LightGBM · K-Means · Contrôle métier;Phare;Évolution du marché, segmentation géographique, benchmark PyCaret, comparaison des valorisations, contrôle IQR, clustering.;Notebook + présentation PPTX/PDF + données d’entrée + synthèses visuelles;Projet fort pour démontrer prédiction, contrôle et interprétation métier.
P9;Bottleneck BI;Architecture BI et tableau de bord commercial pour Bottleneck;SQL + Power BI;Phare;Bottleneck souhaite exploiter une base SQLite pour accélérer le pilotage de son activité commerciale, de ses stocks, de ses marges et de ses promotions.;Auditer la cohérence des quatre tables sources puis construire une architecture BI simple, traçable et exploitable dans Power BI.;"Base SQLite Bottleneck.db : Web 761 SKU ; Finance 11 323 lignes ; Sales 9 564 lignes ; Promo 698 lignes ; période principale 10/2022-09/2023.";SQLite, SQL, DBeaver, Power Query, Power BI, DAX, modèle relationnel.;Audit des clés et du grain produit × mois, contrôle des jointures, exclusion de 110 SKU hors catalogue sans impact commercial, consolidation dans Power Query, modèle en étoile et création de pages thématiques.;"Architecture BI validée autour d’une table de faits consolidée ; dashboard de 2,37 M€ de chiffre d’affaires, 1,11 M€ de marge et 46,86 % de taux de marge, avec analyses marge/inflation, ventes/stocks, segments et promotions.";SQL · SQLite · Power BI · DAX · Modélisation BI · KPI commerciaux;Phare;Schéma source, modèle relationnel Power BI, vue d’ensemble, marge et inflation, ventes et stocks, produits/segments/sans alcool, promotions.;Base DB + dictionnaire + schéma + requêtes SQL + rapport d’analyse + PBIX + PDF du dashboard + PDF des visuels sélectionnés.;Projet très complet combinant audit SQL et restitution BI.
P10;UOI Games;Étude de marché data-driven pour le lancement d’un jeu vidéo AAA;Business analysis;Phare;UOI Games, studio fictif, doit sélectionner le positionnement de son premier jeu AAA avant d’engager un investissement de production lourd.;Identifier le segment offrant le meilleur équilibre entre potentiel commercial, attentes joueurs, cohérence avec le marché actuel, faisabilité et maîtrise du risque.;Ventes historiques 1980-2016, catalogue 2022 de 440 896 lignes, données consoles, 14 réponses au questionnaire, rapports sectoriels récents et tables Power BI-ready.;Python, Pandas, Excel, Google Forms, scoring multicritère, SWOT, PESTEL, PowerPoint et Power BI.;Audit et préparation des données, analyses exploratoires, actualisation par sources externes, questionnaire, scoring pondéré des segments, matrice attractivité/faisabilité, SWOT/PESTEL et scénarios commerciaux.;"Recommandation d’une nouvelle licence action-aventure AAA premium sur PC, PlayStation et Xbox ; score final 4,54/5 ; scénario central de 3,0 millions d’unités, à sécuriser par prototype et vertical slice.";Python · Étude marché · Questionnaire · Scoring · SWOT · PESTEL · Storytelling;Phare;Marché mondial, questionnaire, SWOT, classement des segments, matrice attractivité/faisabilité, recommandation stratégique et scénarios.;Présentation PDF/PPTX + notebook + PDF des graphiques + PBIX + questionnaire + données et tables analytiques.;Projet phare business : transforme l’analyse en décision stratégique.
JUD;Judilibre Explorer;Application Streamlit de recherche et d’export de jurisprudences;Application métier / API;Signature;Besoin personnel et métier de rechercher rapidement des décisions de jurisprudence, d'en structurer les métadonnées et d'en produire des exports exploitables.;Transformer l'API Judilibre / PISTE en une interface simple, sécurisée et utilisable sans manipuler directement des requêtes HTTP.;Résultats et textes intégraux de décisions de la Cour de cassation et des cours d'appel fournis par l'API Judilibre en environnement Production.;Python, Streamlit, API REST, Requests, Pandas, python-docx, ReportLab, XlsxWriter, secrets Streamlit.;Conception de l'interface, appels API, pagination, filtres temporels, résumés heuristiques, mise en cache, génération de documents et diagnostic comparé Sandbox/Production.;Application fonctionnelle proposant trois modes de recherche, des filtres métier, la consultation du texte intégral et cinq formats d'export : CSV, Excel, Word, PDF et ZIP.;Python · Streamlit · API REST · Données textuelles · Exports · Diagnostic API;Signature;Interface de recherche, tableau de résultats, texte intégral, archive ZIP, PDF exporté et aide-mémo.;Code source publiable + requirements + README + captures PNG + PDF des preuves visuelles.;Projet personnel à mettre en avant : autonomie, besoin réel, outil métier complet.
